sku,nome_exemplo,unidades,linha_proposta,linha_corrigida
8301001014,Camiseta Preta - G,143088,Camiseta Minimal,
8301001013,Camiseta Preta - M,141247,Camiseta Minimal,
8301001015,Camiseta Preta - GG,72319,Camiseta Minimal,
8301001012,Camiseta Preta - P,47421,Camiseta Minimal,
9301001023,Camiseta Branca GT- M,46130,Camiseta Minimal,
8301001044,Camiseta Azul - G,42563,Camiseta Minimal,
9301001024,Camiseta Branca GT- G,42426,Camiseta Minimal,
8301001043,Camiseta Azul - M,41909,Camiseta Minimal,
8301001114,Camiseta Preta - G - GOLA V,34554,Camiseta Minimal,
8301001113,Camiseta Preta - M GOLA V,33302,Camiseta Minimal,
8301001016,Camiseta Preta - XGG,29420,Camiseta Minimal,
8301001023,Camiseta Branca - M,27226,Camiseta Minimal,
8301001011,Camiseta Preta - PP,26350,Camiseta Minimal,
8301001033,Camiseta Cinza - M,23381,Camiseta Minimal,
8301002003,Cueca Preta Nova - G,22763,Cueca,
8301001034,Camiseta Cinza - G,22558,Camiseta Minimal,
8301001024,Camiseta Branca - G,21672,Camiseta Minimal,
8301001045,Camiseta Azul - GG,20982,Camiseta Minimal,
8301001073,Camiseta Verde - M,19917,Camiseta Minimal,
8301001115,Camiseta Preta - GG - GOLA V,19414,Camiseta Minimal,
9301001025,Camiseta Branca GT- GG,18712,Camiseta Minimal,
8301001074,Camiseta Verde - G,18395,Camiseta Minimal,
8301001017,Camiseta Preta - XXGG ,17571,Camiseta Minimal,
8301002002,Cueca Preta Nova - M,15980,Cueca,
8301007000,Carteira Minimal Club,15752,Carteira ⚠BRINDE?,
9301001022,Camiseta Branca GT- P,15262,Camiseta Minimal,
8301001042,Camiseta Azul - P,13718,Camiseta Minimal,
8301002004,Cueca Preta Nova - GG,11739,Cueca,
8301001144,Camiseta Azul - G - GOLA V,11360,Camiseta Minimal,
8301001143,Camiseta Azul - M - GOLA V,10998,Camiseta Minimal,
8301001022,Camiseta Branca - P,10935,Camiseta Minimal,
8301001035,Camiseta Cinza - GG,10860,Camiseta Minimal,
8301001112,Camiseta Preta - P - GOLA V,10821,Camiseta Minimal,
9301001124,Camiseta Branca GT- G - GOLA V,10500,Camiseta Minimal,
9301001123,Camiseta Branca GT- M - GOLA V,10497,Camiseta Minimal,
8301001123,Camiseta Branca - M - GOLA V,9378,Camiseta Minimal,
8301001075,Camiseta Verde - GG,8903,Camiseta Minimal,
8301001116,Camiseta Preta - XGG - GOLA V,8886,Camiseta Minimal,
8301001025,Camiseta Branca - GG,8584,Camiseta Minimal,
8301001046,Camiseta Azul - XGG,8447,Camiseta Minimal,
8401001014,Camiseta Fitness Preta - G,8383,Camiseta Fitness,
8301001032,Camiseta Cinza - P,8092,Camiseta Minimal,
8301001134,Camiseta Cinza - G - GOLA V,7851,Camiseta Minimal,
1301002112,Perfume Brinde 10ml,7839,Skincare/Perfume ⚠BRINDE?,
8301001133,Camiseta Cinza - M - GOLA V,7587,Camiseta Minimal,
8301001124,Camiseta Branca - G - GOLA V,7576,Camiseta Minimal,
8401001013,Camiseta Fitness Preta - M,7564,Camiseta Fitness,
8301001072,Camiseta Verde - P,6895,Camiseta Minimal,
9301001026,Camiseta Branca GT- XGG,6473,Camiseta Minimal,
